smiles1,smiles2,bliss
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1
CN1CCOC(c2ccccc2)c2ccccc2C1,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
NCCS(=O)(=O)O,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1
COC(=O)NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-],CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1
CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0
CC=Cc1ccc(OC)cc1,CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CNCC(O)c1ccc(O)c(O)c1,0
